,date,quality_of_life,age,Euro95(€/L),Diesel(€/L),Lpg(€/L),Open,High,Low,Close,adj_close,Volume,Consumer_trust,Economic_climate,Buy_willingness,annual_rate_of_change,annual_rate_of_change_derived,rolling_mean_AEX,news_sentiment,wind_gust,min_temp,avg_temp,max_temp,sunshine_duration,max_potential_sunshine_duration,precipitation_duration,max_precipitation_amount,max_humidity,min_humidity,stringency_index,icu_patients,daily_hospitalization,reproduction_rate,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,counts_per_day,sunrise,sunset,daylight_hours,14day_rollling_avg_temp,14day_rollling_hospitalization
38,5/13/2020,7.501204819,55.07100592,1.472,1.194,0.539,513.4500122,518.0700073,510.3500061,512.1900024,512.1900024,144261500,,,,,,512.7111104,-0.658099353,12,0.8,6.1,11.4,6.4,41,0,-0.1,95,44,71.3,432,1031,0.65,270,52,43557,5577,,,,,845,5.616666667,21.38333333,15.76666667,9.171428571,1267.928571
39,5/14/2020,7.33401222,55.03,1.476,1.191,0.532,504.2399902,506.3800049,492.4200134,499.0299988,499.0299988,172732000,,,,,,511.1677789,-0.658427775,9,-3,4.65,12.3,10.6,67,0,0,94,42,71.3,410,1029,0.63,200,28,43757,5605,,,,,500,5.6,21.41666667,15.81666667,8.632142857,1236.357143
40,5/15/2020,7.403846154,53.97606383,1.48,1.19,0.541,507.0700073,508.3299866,499.2099915,500.3099976,500.3099976,143575700,,,,,,510.0820007,-0.677315116,12,-2.9,5.8,14.5,6.1,39,0,0,96,42,71.3,378,981,0.63,189,53,43946,5658,,,,,376,5.566666667,21.43333333,15.86666667,8.364285714,1201.571429
41,5/16/2020,7.483870968,55.56696429,,,,,,,,,,,,,,,510.0820007,-0.675796092,11,2.9,10,17.1,4.2,26,0,0,97,51,71.3,346,971,0.64,126,27,44072,5685,,,,,224,5.533333333,21.46666667,15.93333333,8.435714286,1164.214286
42,5/17/2020,7.435986159,54.75767918,,,,,,,,,,,,,,,510.0820007,-0.659395397,12,0.5,9.65,18.8,12.3,77,0,0,97,41,71.3,349,919,0.68,146,10,44218,5695,,,,,293,5.516666667,21.5,15.98333333,8.414285714,1131.285714
43,5/18/2020,7.378564118,56.03527718,1.483,1.191,0.54,509.1900024,521.4099731,508.7600098,519.8900146,519.8900146,148258000,,,,,,512.4400024,-0.65325439,14,6.5,13.6,20.7,7.5,47,0,0,93,49,71.3,323,909,0.73,108,14,44326,5709,,,,,6945,5.483333333,21.51666667,16.03333333,8.821428571,1101
44,5/19/2020,7.416595672,57.03390684,1.489,1.192,0.541,525.2000122,525.2000122,515,520.4500122,520.4500122,145493500,,,,,,513.502005,-0.648585439,7,10.7,15.35,20,1.5,9,0,0,90,59,71.3,293,933,0.79,198,21,44524,5730,,,,,11915,5.466666667,21.55,16.08333333,9.5,1072.428571
45,5/20/2020,7.452588316,56.66852582,1.496,1.193,0.545,517.7299805,531.3099976,517.5200195,531.0599976,531.0599976,111422100,,,,,,516.053006,-0.651090384,6,10.6,15.6,20.6,7.2,45,0,0,96,55,71.3,275,922,0.82,253,33,44777,5763,,,,,10399,5.45,21.56666667,16.11666667,10.14642857,1041.714286
46,5/21/2020,7.414845855,57.66129032,1.502,1.194,0.54,524.2199707,529.460022,522.1400146,522.8099976,522.8099976,88447600,,,,,,516.7080048,-0.630376875,8,9.3,17.3,25.3,13.9,86,0,0,98,37,71.3,255,911,0.82,188,27,44965,5790,,,,,3410,5.416666667,21.6,16.18333333,10.76785714,1014.928571
47,5/22/2020,7.486455982,57.61498065,1.503,1.195,0.538,515.0300293,525.0999756,514.3200073,524.3800049,524.3800049,105195900,,,,,,517.0890045,-0.66112721,15,12.2,17.55,22.9,3.2,20,1.7,2.2,89,47,71.3,252,863,0.83,176,13,45141,5803,,,,,3618,5.4,21.61666667,16.21666667,11.20714286,991.6428571
48,5/23/2020,7.418181818,56.77179963,,,,,,,,,,,,,,,517.0890045,-0.673001409,15,10.6,14.75,18.9,8,49,0.1,0.1,89,44,71.3,227,811,0.85,172,23,45313,5826,,,,,1617,5.383333333,21.65,16.26666667,11.17142857,968.7142857
49,5/24/2020,7.473770492,56.64909457,,,,,,,,,,,,,,,517.0890045,-0.646923482,13,10.2,13.05,15.9,2.9,18,2.9,0.7,93,64,71.3,223,730,0.89,209,11,45522,5837,,,,,2485,5.35,21.66666667,16.31666667,11.17857143,945.5714286
50,5/25/2020,7.424366872,55.29004038,1.507,1.199,0.539,528.7199707,533.5599976,526.2299805,532.8200073,532.8200073,56793600,,,,,,518.3380035,-0.650442123,11,5.3,11.25,17.2,8.5,52,0,0,98,62,71.3,223,756,0.88,133,8,45655,5845,,,,,1486,5.333333333,21.7,16.36666667,11.49642857,919.7142857
51,5/26/2020,7.532299742,54.45068027,1.506,1.197,0.554,538.4000244,538.6500244,529.7199707,531.2999878,531.2999878,122450900,,,,,,519.4240021,-0.632894933,6,4.4,13,21.6,12.7,78,0,0,98,43,71.3,188,698,0.87,190,26,45845,5871,,,,,1176,5.316666667,21.71666667,16.4,11.975,890.2857143
52,5/27/2020,7.531013616,54.80444444,1.507,1.197,0.551,532.4199829,533.4000244,523.2600098,528.960022,528.960022,169157800,,,,,,521.101004,-0.615289509,11,7.7,13.4,19.1,12.5,76,0,0,96,52,71.3,189,723,0.84,182,15,46027,5886,,,,,675,5.3,21.73333333,16.43333333,12.49642857,868.2857143
53,5/28/2020,7.449350649,55.42268041,1.508,1.198,0.552,532.210022,539.6199951,531,538.6199951,538.6199951,127433400,,,,,,525.0600037,-0.614244103,10,3.7,10.55,17.4,14.8,90,0,0,94,47,71.3,182,695,0.82,176,32,46203,5918,,,,,388,5.283333333,21.76666667,16.48333333,12.91785714,844.4285714
54,5/29/2020,7.514563107,54.01895735,1.511,1.199,0.55,533.7299805,536.9400024,529.9799805,532.5700073,532.5700073,179738400,,,,,,528.2860046,-0.63601768,11,1.5,11.2,20.9,15,91,0,0,97,42,71.3,180,618,0.82,131,28,46334,5946,,,,,211,5.266666667,21.78333333,16.51666667,13.30357143,818.5
55,5/30/2020,7.617647059,54.81294964,,,,,,,,,,,,,,,528.2860046,-0.623734653,10,7.6,14.75,21.9,15.4,93,0,0,97,34,71.3,170,589,0.84,185,20,46519,5966,,,,,139,5.25,21.8,16.55,13.64285714,791.2142857
